S. No.,Registration No,Pharmacy Name,District,Pranali,Prescription Type,Wholesale/Retail
23,3.7203E+12,kabhiv Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
24,3.7203E+12,Arjob Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
25,3.7203E+12,MEGAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
26,3.72031E+12,Mana Pharmaceuticals,Kathmandu,ALLOPATHY,"A,B,C",Retail
27,3.72031E+12,Emperor Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
28,3.72031E+12,Deep Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
29,3.72031E+12,Meditrust Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
30,3.72031E+12,SUSHAB MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
31,3.72031E+12,Anij pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
32,3.72032E+12,Veet Life Care P Ltd,Kathmandu,ALLOPATHY,"A,B,C",Retail
33,3.72032E+12,Medicos P Ltd,Kathmandu,ALLOPATHY,"A,B,C",Retail
34,3.72032E+12,Pashupatinath Pharma P Ltds,Kathmandu,ALLOPATHY,"A,B,C",Retail
35,3.72032E+12,Jeekt Pharmaceuticals,Kathmandu,ALLOPATHY,"A,B,C",Retail
36,3.72032E+12,Nepal Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
37,3.72032E+12,Yug Jyoti Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
38,3.72032E+12,Aabaj Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
39,3.72032E+12,--,Kathmandu,ALLOPATHY,"A,B,C",Retail
40,3.72032E+12,sotantra Aushadhai Pasal,Kathmandu,ALLOPATHY,"A,B,C",Retail
41,3.72032E+12,Radient Life Sciences P Ltd,Kathmandu,ALLOPATHY,"A,B,C",Retail
42,3.72032E+12,Laxmina Medico Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
43,3.72032E+12,Sankalpa Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
44,3.72032E+12,Prashan Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
45,3.72032E+12,Ghams Hospital P Ltd,Kathmandu,ALLOPATHY,"A,B,C",Retail
46,3.72032E+12,Aaramba Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
47,3.72032E+12,Gajaghar Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
48,3.72032E+12,Dosti Aushadhai Pasal,Kathmandu,ALLOPATHY,"A,B,C",Retail
49,3.72032E+12,Bala Aushadhai Pasal,Kathmandu,ALLOPATHY,"A,B,C",Retail
50,3.72032E+12,Sashru pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
51,3.72032E+12,Sushanta Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
52,3.72032E+12,Esbena Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
53,3.72032E+12,Opanish Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
54,3.72032E+12,Avaman Ayurbed Aushadhalaya,Kathmandu,ALLOPATHY,"A,B,C",Retail
55,3.72032E+12,Samrachan Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
56,3.72032E+12,Rajbiraj Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
57,3.72032E+12,Metro Health Polyclinic pvt ltd PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
58,3.72032E+12,Max Polyclinic,Kathmandu,ALLOPATHY,"A,B,C",Retail
59,3.72032E+12,Parbhu Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
60,3.72032E+12,Maipee Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
61,3.72032E+12,Genanse Pharmaceuticals,Kathmandu,ALLOPATHY,"A,B,C",Retail
62,3.72032E+12,Santoshi Aushadhi Pasal,Kathmandu,ALLOPATHY,"A,B,C",Retail
63,3.72032E+12,Orient Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
64,3.72032E+12,Profecent Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
65,3.72032E+12,Creaar Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
66,3.72032E+12,Chhaya Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
67,3.72032E+12,Gud Life Phaarma,Kathmandu,ALLOPATHY,"A,B,C",Retail
68,3.72032E+12,Bibhuti Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
69,3.72032E+12,ATIGA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
70,3.72032E+12,Pakurel Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
71,3.72032E+12,Clean Thamel Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
72,3.72032E+12,Mahabir Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
73,3.72032E+12,Pampha Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
74,3.72032E+12,Gurung Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
75,3.72032E+12,Arich Medico Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
76,3.72032E+12,Barsha Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
77,3.72032E+12,Lalitpur Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
78,3.72032E+12,Chhama Devi Medical HAll,Kathmandu,ALLOPATHY,"A,B,C",Retail
79,3.72032E+12,Bhugol Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
80,3.72032E+12,Jamo Hulsa Aushadhai Pasal,Kathmandu,ALLOPATHY,"A,B,C",Retail
81,3.72032E+12,Medibal Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
82,3.72032E+12,Paropakar Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
83,3.72032E+12,Anjan Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
84,3.72032E+12,Sarthak Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
85,3.72032E+12,Rautahat Medical,Kathmandu,ALLOPATHY,"A,B,C",Retail
86,3.72032E+12,Jaya Gurudev Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
87,3.72032E+12,Dhaulagiri Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
88,3.72032E+12,Keshari Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
89,3.72032E+12,Yashodha Medical Hall`,Kathmandu,ALLOPATHY,"A,B,C",Retail
90,3.72032E+12,Abhegya Medical Halll,Kathmandu,ALLOPATHY,"A,B,C",Retail
91,3.72032E+12,National Medicine Distributers,Kathmandu,ALLOPATHY,"A,B,C",Retail
92,3.72032E+12,Chanchi Medical Hall`,Kathmandu,ALLOPATHY,"A,B,C",Retail
93,3.72032E+12,tulsa Aushadhai Pasal`,Kathmandu,ALLOPATHY,"A,B,C",Retail
94,3.72032E+12,Basanta Aushadhalaya,Kathmandu,ALLOPATHY,"A,B,C",Retail
95,3.72032E+12,Khushi Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
96,3.72032E+12,rural Mrdico,Kathmandu,ALLOPATHY,"A,B,C",Retail
97,3.72032E+12,Chandradaya Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
98,3.72032E+12,B J pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
99,3.72032E+12,Prathana Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
100,3.72032E+12,mahato Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
101,3.72032E+12,White Pizon Health Service P Ltd,Kathmandu,ALLOPATHY,"A,B,C",Retail
102,3.72032E+12,Goldhunga Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
103,3.72032E+12,Sandesh Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
104,3.72032E+12,Gairi Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
105,3.72032E+12,Santinagar Pradhananga Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
106,3.72032E+12,Sisam Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
107,3.72032E+12,Sanjam Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
108,3.72032E+12,Stuti Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
109,3.72032E+12,Yakjali Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
110,3.72032E+12,Green Ayurbed Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
111,3.72032E+12,Saiju Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
112,3.72032E+12,Raj Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
113,3.72032E+12,Kankai Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
114,3.72032E+12,Nabasony Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
115,3.72032E+12,Shiva Om Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
116,3.72032E+12,DEEPIKAA MEDICAL CONCERN,Kathmandu,ALLOPATHY,"A,B,C",Retail
117,3.72032E+12,Sampanna Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
118,3.72032E+12,Swet Barahai Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
119,3.72032E+12,Omni Bahudshya Sahakari sastha,Kathmandu,ALLOPATHY,"A,B,C",Retail
120,3.72032E+12,Nikoplus Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
121,3.72032E+12,Sitapilla Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
122,3.72032E+12,Prasanta Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
123,3.72032E+12,Siddhi Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
124,3.72032E+12,New Hospital Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
125,3.72032E+12,Shreeram Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
126,3.72032E+12,Nepal Ayurbed Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
127,3.72032E+12,Siddhanath Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
128,3.72032E+12,Ajima Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
129,3.72032E+12,bhim Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
130,3.72032E+12,Prem Medical hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
131,3.72032E+12,Prasanna Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
132,3.72032E+12,Joti Homyo Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
133,3.72032E+12,Emergency Aushadhai Pasal,Kathmandu,ALLOPATHY,"A,B,C",Retail
134,3.72032E+12,Friendship Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
135,3.72032E+12,Subha Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
136,3.72032E+12,Jaya Manakamana Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
137,3.72032E+12,Chuchapati Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
138,3.72032E+12,Janaswestha Sahakari Sewa L,Kathmandu,ALLOPATHY,"A,B,C",Retail
139,3.72032E+12,Sahadaj Medicine,Kathmandu,ALLOPATHY,"A,B,C",Retail
140,3.72032E+12,Devi Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
141,3.72032E+12,Am Suman Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
142,3.72032E+12,BIINAM PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
143,3.72032E+12,Century Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
144,3.72032E+12,Geetpur Vet Center,Kathmandu,ALLOPATHY,"A,B,C",Retail
145,3.72032E+12,Shah Ayurbed Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
146,3.72032E+12,Sugam Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
147,3.72032E+12,Gud Pabitra Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
148,3.72032E+12,MERCURY PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
149,3.72032E+12,Trishuli Ayurbed Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
150,3.72032E+12,New Tripura Medico Vet,Kathmandu,ALLOPATHY,"A,B,C",Retail
151,3.72032E+12,Bhatbhatini Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
152,3.72032E+12,Ambika Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
153,3.72032E+12,Rijal Drug House,Kathmandu,ALLOPATHY,"A,B,C",Retail
154,3.72032E+12,Rational Medical,Kathmandu,ALLOPATHY,"A,B,C",Retail
155,3.72032E+12,Sugam Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
156,3.72032E+12,Menuka Medicine Suppliers,Kathmandu,ALLOPATHY,"A,B,C",Retail
157,3.72032E+12,Joshi Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
158,3.72032E+12,Medzone Community Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
159,3.72032E+12,Rachit Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
160,3.72032E+12,Paragon Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
161,3.72032E+12,Shloka Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
162,3.72032E+12,Dev Darshan Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
163,3.72032E+12,Bishram Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
164,3.72032E+12,Samparka Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
165,3.72032E+12,Spacial Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
166,3.72032E+12,Samutya Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
167,3.72032E+12,Atmiyata Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
168,3.72032E+12,Risti Medical Center,Kathmandu,ALLOPATHY,"A,B,C",Retail
169,3.72032E+12,jyoti pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
170,3.72032E+12,RENEGADE PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
171,3.72032E+12,Binamra Medical,Kathmandu,ALLOPATHY,"A,B,C",Retail
172,3.72032E+12,SAJINA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
173,3.72032E+12,YOOGI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
174,3.72032E+12,Pharmaciya Nepal,Kathmandu,ALLOPATHY,"A,B,C",Retail
175,3.72032E+12,DAYS PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
176,3.72032E+12,Durga Medical Concern,Kathmandu,ALLOPATHY,"A,B,C",Retail
177,3.72032E+12,Giri Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
178,3.72032E+12,Medigen Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
179,3.72032E+12,shechen clinic and hospice,Kathmandu,ALLOPATHY,"A,B,C",Retail
180,3.72032E+12,Paneru Medicoj,Kathmandu,ALLOPATHY,"A,B,C",Retail
181,3.72033E+12,itik medical center,Kathmandu,ALLOPATHY,"A,B,C",Retail
182,3.72033E+12,Athithi Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
183,3.7204E+12,SANGITA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
184,3.7204E+12,Rita Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
185,3.72041E+12,Samastha Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
186,3.72041E+12,Pramod Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
187,3.72041E+12,rojesh medical hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
188,3.72041E+12,M S medical,Kathmandu,ALLOPATHY,"A,B,C",Retail
189,3.72041E+12,chintang devi aausadhi pasal,Kathmandu,ALLOPATHY,"A,B,C",Retail
190,3.72041E+12,Sarlai Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
191,3.72042E+12,Glorius Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
192,3.72042E+12,MEGINAA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
193,3.72042E+12,Salbhus Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
194,3.72042E+12,Sirajul Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
195,3.72042E+12,Trust Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
196,3.72042E+12,Galeshwor Medical,Kathmandu,ALLOPATHY,"A,B,C",Retail
197,3.72042E+12,Nawajeevan Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
198,3.72042E+12,Ghatal Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
199,3.72042E+12,--,Kathmandu,ALLOPATHY,"A,B,C",Retail
200,3.72042E+12,Ashal pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
201,3.72042E+12,Sagarika Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
202,3.72042E+12,Swezerland Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
203,3.72042E+12,Regards Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
204,3.72042E+12,ANUBHAVI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
205,3.72043E+12,MELAMCHI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
206,3.72043E+12,Dinrat Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
207,3.72043E+12,human pharmaceuticals,Kathmandu,ALLOPATHY,"A,B,C",Retail
208,3.72043E+12,kathmandu community,Kathmandu,ALLOPATHY,"A,B,C",Retail
209,3.72043E+12,Hope PHarmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
210,3.72043E+12,OSTRICH PHARMA AND HEALTH CARE CENTER PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
211,3.72043E+12,test pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
212,3.7205E+12,Safeway Thamel Pvt Ltd pharmacy unit,Kathmandu,ALLOPATHY,"A,B,C",Retail
213,3.7205E+12,Care Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
214,3.7205E+12,Aaram Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
215,3.7205E+12,Neighbourhood Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
216,3.7205E+12,"prabin medical,",Kathmandu,ALLOPATHY,"A,B,C",Retail
217,3.7205E+12,Shakambari Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
218,3.7205E+12,panchatar pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
219,3.7205E+12,Pratchutsha Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
220,3.7205E+12,SAJHA SWASTHYA SEWA,Kathmandu,ALLOPATHY,"A,B,C",Retail
221,3.7205E+12,Deepan Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
222,3.7205E+12,GOODWILL HEALTH CARE CENTER PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
223,3.72051E+12,GRANDE CITY PHARMACY PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
224,3.72051E+12,UTTARBAHINI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
225,3.72051E+12,KADHAGHARI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
226,3.72051E+12,Ritika Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
227,3.72051E+12,Ghumti Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
228,3.72051E+12,Draggon Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
229,3.72051E+12,Goodnever Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
230,3.72051E+12,OMTARA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
231,3.72051E+12,Dhupoo Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
232,3.72051E+12,Jarankhu Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
233,3.72052E+12,Pabittra progress pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
234,3.72052E+12,SANJOK PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
235,3.72052E+12,Dharohar pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
236,3.72052E+12,Rickysha Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
237,3.72052E+12,ashimala pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
238,3.72052E+12,samuchit pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
239,3.72052E+12,PRACHIN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
240,3.72052E+12,Nippy Pharmay,Kathmandu,ALLOPATHY,"A,B,C",Retail
241,3.72052E+12,Peris medical hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
242,3.72052E+12,Dantakali pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
243,3.72052E+12,Janarakshya Pharmacy Pvt Ltd Pharmacy Unit,Kathmandu,ALLOPATHY,"A,B,C",Retail
244,3.72052E+12,janarakshya pharmacy pra li pharmecy unit,Kathmandu,ALLOPATHY,"A,B,C",Retail
245,3.72052E+12,Rubas pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
246,3.72052E+12,Ukisha Pharmacy and Pathology Pvt Ltd,Kathmandu,ALLOPATHY,"A,B,C",Retail
247,3.72052E+12,KATHMANDU DIAGNOSTIC CENTER PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
248,3.72052E+12,OM KARESHWOR POLYCLINIC PVT LTD Pharamacy unit,Kathmandu,ALLOPATHY,"A,B,C",Retail
249,3.72052E+12,TONIC PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
250,3.72052E+12,PACHAL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
251,3.72052E+12,KANCHAN MEDICAL AND DIAGNOSTIC CENTER PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
252,3.72052E+12,BYKS PHARMAS,Kathmandu,ALLOPATHY,"A,B,C",Retail
253,3.72052E+12,URESH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
254,3.72052E+12,FELICIA PHRMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
255,3.72052E+12,BIOPLUS PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
256,3.72052E+12,EGLINA MEDICAL HAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
257,3.72052E+12,ORISHAN HEALTH MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
258,3.72052E+12,NEPAL AAKHA KARYAKUM TILGANGA AAKHA CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
259,3.72052E+12,DIDEE BAHINI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
260,3.72052E+12,CHATURBHUJASHOR MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
261,3.72052E+12,HELPLINE HEALTHY NETWORK NEPAL PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
262,3.72052E+12,BHARGAV MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
263,3.72052E+12,MALLICK PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
264,3.72052E+12,PUJESH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
265,3.72052E+12,BALAMBU PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
266,3.72052E+12,MERIGOLD PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
267,3.72052E+12,TUSHAL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
268,3.72052E+12,GYEMUS PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
269,3.72052E+12,BETRAGANGA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
270,3.72052E+12,SARU PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
271,3.72052E+12,SANGHIYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
272,3.72052E+12,HRIDEN PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
273,3.72052E+12,SUPPORTMEDI LINK,Kathmandu,ALLOPATHY,"A,B,C",Retail
274,3.72052E+12,KARMALI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
275,3.72052E+12,DALLU MEDICAL HOME,Kathmandu,ALLOPATHY,"A,B,C",Retail
276,3.72052E+12,SINGALI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
277,3.72052E+12,PREVAS MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
278,3.72052E+12,OSHU PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
